model,deploy,params,model_size_mb,flops,cpu_latency,gpu_latency
A0,False,7840874,31.589755,493930240.0,0.005781421661376953,0.003719348907470703
A0,True,7041194,28.196567,440190720.0,0.003427567481994629,0.0015132999420166015
A1,False,12824202,51.548347,857736960.0,0.006797122955322266,0.0041460561752319335
A1,True,11521674,46.118551,766215936.0,0.0037790536880493164,0.0015329265594482423
A2,False,26815690,107.563185,1858983040.0,0.012405476570129394,0.004155597686767578
A2,True,24105034,96.451991,1665111168.0,0.0077733278274536135,0.0017341279983520508
B0,False,14549898,58.509727,1112147712.0,0.009076452255249024,0.005091638565063477
B0,True,13070858,52.323455,992708352.0,0.004800519943237305,0.0019414472579956056
B1,False,55386506,221.985877,4297381888.0,0.02371807098388672,0.005055317878723145
B1,True,49800970,199.243967,3852195840.0,0.01558643341064453,0.0034378957748413086
resnet18,False,11173962,44.779763,557889024.0,0.004130368232727051,0.0018382310867309571
resnet34,False,21282122,85.277459,1163507200.0,0.007114849090576172,0.0033106374740600585
teacher_resnet18,False,11173962,44.779763,557889024.0,0.004081940650939942,0.0018015575408935546
