model,deploy,params,model_size_mb,flops,cpu_latency,gpu_latency
a1_default,False,1319242,5.347981,70769408.0,0.001836109161376953,0.001881570816040039
a1_default,True,1184074,4.750179,62233344.0,0.001001729965209961,0.0006810188293457031
a1_light,False,1319242,5.347981,70769408.0,0.0023111534118652344,0.0019428300857543945
a1_light,True,1184074,4.750179,62233344.0,0.0007866573333740234,0.0006470298767089844
a1_strong,False,1319242,5.347981,70769408.0,0.0019126462936401368,0.002024798393249512
a1_strong,True,1184074,4.750179,62233344.0,0.0007130289077758789,0.0006489944458007812
b1_default,False,1319242,5.347981,70769408.0,0.001886157989501953,0.0019765806198120115
b1_default,True,1184074,4.750179,62233344.0,0.0006928110122680664,0.0008410310745239258
b1_light,False,1319242,5.347981,70769408.0,0.001986231803894043,0.0019502782821655274
b1_light,True,1184074,4.750179,62233344.0,0.0006941413879394531,0.0006207513809204101
b1_strong,False,1319242,5.347981,70769408.0,0.0018479347229003907,0.002029457092285156
b1_strong,True,1184074,4.750179,62233344.0,0.0008513879776000977,0.0006468057632446289
